Time (s),RPM
18.47,151.32
18.48,151.32
18.49,153.22
18.5,149.43
18.51,153.22
18.52,149.43
18.53,151.32
18.54,151.32
18.55,151.32
18.56,151.32
18.57,151.32
18.58,151.32
18.59,149.43
18.6,153.22
18.61,149.43
18.62,153.22
18.63,149.43
18.64,153.22
18.65,149.43
18.66,153.22
18.67,149.43
18.68,151.32
18.69,151.32
18.7,151.32
18.71,151.32
18.72,151.32
18.73,151.32
18.74,151.32
18.75,151.32
18.76,151.32
18.77,151.32
18.78,151.32
18.79,151.32
18.8,151.32
18.81,151.32
18.82,151.32
18.83,151.32
18.84,151.32
18.85,151.32
18.86,151.32
18.87,151.32
18.88,149.43
18.89,153.22
18.9,149.43
18.91,153.22
18.92,149.43
18.93,153.22
18.94,149.43
18.95,151.32
18.96,151.32
18.97,151.32
18.98,153.22
18.99,149.43
19,153.22
19.01,149.43
19.02,153.22
19.03,149.43
19.04,153.22
19.05,149.43
19.06,151.32
19.07,151.32
19.08,151.32
19.09,151.32
19.1,151.32
19.11,153.22
19.12,149.43
19.13,153.22
19.14,149.43
19.15,151.32
19.16,151.32
19.17,153.22
19.18,149.43
19.19,151.32
19.2,151.32
19.21,151.32
19.22,153.22
19.23,151.32
19.24,151.32
19.25,151.32
19.26,151.32
19.27,151.32
19.28,151.32
19.29,151.32
19.3,151.32
19.31,151.32
19.32,151.32
19.33,151.32
19.34,151.32
19.35,151.32
19.36,151.32
19.37,151.32
19.38,151.32
19.39,151.32
19.4,149.43
19.41,153.22
19.42,149.43
19.43,153.22
19.44,149.43
19.45,153.22
19.46,149.43
19.47,151.32
19.48,153.22
19.49,149.43
19.5,153.22
19.51,151.32
19.52,151.32
19.53,149.43
19.54,153.22
19.55,149.43
19.56,153.22
19.57,151.32
19.58,151.32
19.59,151.32
19.6,151.32
19.61,151.32
19.62,151.32
19.63,151.32
19.64,151.32
19.65,151.32
19.66,149.43
19.67,153.22
19.68,149.43
19.69,153.22
19.7,151.32
19.71,151.32
19.72,151.32
19.73,151.32
19.74,151.32
19.75,151.32
19.76,151.32
19.77,151.32
19.78,151.32
19.79,151.32
19.8,151.32
19.81,151.32
19.82,151.32
19.83,151.32
19.84,151.32
19.85,151.32
19.86,151.32
19.87,151.32
19.88,151.32
19.89,151.32
19.9,151.32
19.91,151.32
19.92,153.22
19.93,149.43
19.94,153.22
19.95,149.43
19.96,153.22
19.97,151.32
19.98,151.32
19.99,151.32
20,151.32
20.01,151.32
20.02,151.32
20.03,151.32
20.04,151.32
20.05,153.22
20.06,149.43
20.07,153.22
20.08,149.43
